"Ratio of education and health expenditure to military expenditure"
"56","Kuwait","..","..","..","..","1.6","..","..","..","..","..","..","..","..","..","..","..","..",".."
"122","Kyrgyzstan","..","..","2.8","..","4.0","..","3.4","..","4.1","..","5.0","..","4.7","..","4.1","..","4.1",".."
"139","Lao People's Democratic Republic","..","..","7.8","..","16.6","..","22.8","..","18.3","..","20.4","..","31.1","..","..","..","..",".."
"41","Latvia","..","..","15.0","..","..","..","12.5","..","12.3","..","15.7","..","15.5","..","13.9","..","..",".."
"80","Lebanon","..","..","..","..","2.3","..","2.2","..","2.4","..","2.5","..","2.4","..","..","..","..",".."
"159","Lesotho","..","..","4.6","..","8.7","..","..","..","..","..","..","..","..","..","..","..","..",".."
"181","Liberia","..","..","..","..","..","..","..","..","..","..","13.8","..","..","..","..","..","..",".."
"35","Lithuania","..","..","..","..","9.0","..","13.8","..","14.7","..","14.4","..","14.0","..","12.1","..","..",".."
"21","Luxembourg","..","..","..","..","..","..","..","..","..","..","25.4","..","..","..","24.4","..","..",".."
"161","Madagascar","..","..","6.8","..","8.7","..","..","..","10.7","..","9.4","..","9.0","..","..","..","..",".."
"171","Malawi","..","..","14.3","..","..","..","15.0","..","17.7","..","..","..","14.9","..","17.8","..","23.4",".."
"57","Malaysia","..","..","5.1","..","..","..","5.5","..","5.9","..","6.5","..","6.0","..","6.3","..","5.9",".."
"182","Mali","..","..","5.5","..","6.1","..","5.7","..","6.3","..","6.6","..","7.5","..","6.2","..","4.1",".."
"29","Malta","..","..","..","..","..","..","21.8","..","27.8","..","27.9","..","31.6","..","33.2","..","..",".."
"159","Mauritania","..","..","..","..","..","..","..","..","..","..","2.3","..","2.6","..","..","..","..",".."
"65","Mauritius","..","..","33.5","..","45.7","..","55.6","..","50.9","..","54.5","..","43.3","..","66.7","..","57.9",".."
"74","Mexico","..","..","19.2","..","26.2","..","20.1","..","19.9","..","19.1","..","17.5","..","16.7","..","..",".."
"112","Moldova (Republic of)","..","..","26.1","..","41.8","..","67.4","..","59.5","..","58.8","..","..","..","51.4","..","..",".."
"92","Mongolia","..","..","5.2","..","..","..","11.6","..","10.3","..","9.6","..","10.9","..","9.9","..","9.3",".."
"180","Mozambique","..","..","..","..","13.5","..","..","..","..","..","12.3","..","11.3","..","..","..","..",".."
"129","Namibia","..","..","7.8","..","..","..","5.1","..","..","..","..","..","..","..","..","..","..",".."
"149","Nepal","..","..","6.8","..","4.1","..","5.5","..","5.8","..","6.2","..","5.9","..","6.0","..","6.3",".."
"10","Netherlands","..","..","8.1","..","10.2","..","11.9","..","12.3","..","13.1","..","14.0","..","14.0","..","..",".."
"16","New Zealand","..","..","..","..","12.0","..","12.7","..","13.4","..","14.2","..","14.4","..","13.9","..","14.3",".."
"124","Nicaragua","..","..","13.6","..","..","..","21.7","..","..","..","..","..","..","..","..","..","..",".."
"189","Niger","..","..","7.9","..","..","..","8.5","..","8.1","..","4.8","..","8.0","..","7.1","..","..",".."
"1","Norway","..","..","8.3","..","9.6","..","10.3","..","10.5","..","11.5","..","11.6","..","11.6","..","..",".."
"48","Oman","..","..","0.6","..","0.5","..","..","..","..","..","..","..","0.5","..","..","..","..",".."
"150","Pakistan","..","..","1.2","..","1.2","..","1.4","..","1.4","..","1.3","..","1.5","..","1.5","..","1.5",".."
"110","Paraguay","..","..","7.7","..","..","..","9.8","..","10.3","..","9.6","..","..","..","..","..","..",".."
"89","Peru","..","..","4.3","..","4.7","..","5.1","..","5.3","..","5.2","..","4.9","..","5.5","..","5.3",".."
"113","Philippines","..","..","4.0","..","4.8","..","..","..","..","..","..","..","..","..","..","..","..",".."
"33","Poland","..","..","5.6","..","5.8","..","6.3","..","6.2","..","6.1","..","6.4","..","5.9","..","..",".."
"41","Portugal","..","..","7.3","..","7.1","..","7.7","..","7.3","..","7.5","..","6.9","..","7.9","..","..",".."
"37","Qatar","..","..","..","..","3.3","..","4.2","..","..","..","..","..","..","..","..","..","..",".."
"52","Romania","..","..","2.8","..","4.5","..","7.3","..","5.9","..","6.2","..","..","..","6.1","..","..",".."
"49","Russian Federation","..","..","2.3","..","2.5","..","..","..","..","..","2.5","..","..","..","..","..","..",".."
"158","Rwanda","..","..","2.5","..","..","..","11.0","..","11.8","..","12.1","..","11.9","..","..","..","..",".."
"39","Saudi Arabia","..","..","1.0","..","1.1","..","..","..","..","..","..","..","..","..","..","..","..",".."
"164","Senegal","..","..","5.8","..","6.8","..","6.9","..","6.3","..","7.1","..","7.0","..","7.2","..","7.0",".."
"67","Serbia","..","..","..","..","..","..","6.6","..","6.7","..","6.8","..","..","..","6.8","..","6.9",".."
"62","Seychelles","..","..","..","..","..","..","..","..","8.7","..","..","..","..","..","..","..","..",".."
"184","Sierra Leone","..","..","4.0","..","8.8","..","12.1","..","15.3","..","15.0","..","21.7","..","23.0","..","..",".."
"9","Singapore","..","..","1.5","..","1.5","..","1.8","..","1.9","..","2.1","..","2.2","..","..","..","..",".."
"38","Slovakia","..","..","5.5","..","6.2","..","9.4","..","10.5","..","10.6","..","11.8","..","11.3","..","10.2",".."
"25","Slovenia","..","..","..","..","9.6","..","8.8","..","10.9","..","12.3","..","13.5","..","14.2","..","..",".."
"113","South Africa","..","..","9.3","..","8.5","..","11.8","..","12.2","..","12.5","..","12.2","..","12.6","..","..",".."
"187","South Sudan","..","..","..","..","..","..","..","..","..","..","..","..","0.5","..","0.4","..","0.4",".."
"26","Spain","..","..","6.4","..","8.5","..","10.1","..","10.5","..","9.6","..","10.5","..","10.7","..","..",".."
"76","Sri Lanka","..","..","..","..","..","..","1.7","..","1.8","..","1.9","..","2.0","..","2.0","..","2.0",".."
"167","Sudan","..","..","1.0","..","1.3","..","..","..","..","..","..","..","..","..","..","..","..",".."
"7","Sweden","..","..","7.7","..","10.5","..","12.5","..","15.3","..","16.2","..","16.7","..","16.5","..","..",".."
"2","Switzerland","..","..","13.7","..","18.1","..","22.2","..","22.2","..","23.5","..","22.4","..","25.6","..","..",".."
"127","Tajikistan","..","..","5.5","..","..","..","10.3","..","9.0","..","10.0","..","..","..","..","..","9.9",".."
"154","Tanzania (United Republic of)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","9.4","..","..",".."
"83","Thailand","..","..","5.7","..","7.0","..","4.9","..","5.8","..","5.8","..","5.4","..","..","..","..",".."
"165","Togo","..","..","..","..","4.9","..","6.0","..","6.7","..","6.7","..","6.4","..","6.1","..","6.9",".."
"95","Tunisia","..","..","7.3","..","8.2","..","9.4","..","..","..","8.5","..","..","..","..","..","5.9",".."
"64","Turkey","..","..","2.0","..","..","..","..","..","..","..","4.3","..","4.5","..","4.6","..","..",".."
"162","Uganda","..","..","4.2","..","..","..","4.1","..","3.4","..","5.7","..","5.3","..","5.4","..","..",".."
"88","Ukraine","..","..","2.6","..","4.4","..","..","..","5.5","..","5.7","..","5.7","..","4.0","..","..",".."
"14","United Kingdom","..","..","4.7","..","5.6","..","6.0","..","6.1","..","..","..","7.5","..","7.9","..","8.3",".."
"13","United States","..","..","..","..","..","..","4.7","..","4.7","..","5.1","..","5.5","..","6.1","..","..",".."
"55","Uruguay","..","..","4.7","..","5.7","..","..","..","7.4","..","..","..","..","..","..","..","..",".."
"116","Viet Nam","..","..","..","..","..","..","4.8","..","5.3","..","5.6","..","5.5","..","..","..","..",".."
"178","Yemen","..","..","2.8","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
